                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96684,                0.48902,                 1.0297,                0.92458,                 0.8149,                0.89977,                0.54246,                 1.5465,                0.72131,                 1.5918,             0.00044249,             0.00044249,             0.00044249
                     36,                0.98868,                0.48267,                 1.0504,                0.91435,                0.81815,                0.90825,                0.56121,                 1.4789,                0.70674,                 1.5473,             0.00043588,             0.00043588,             0.00043588
                     37,                0.95058,                 0.4717,                 1.0508,                0.88159,                0.82134,                0.90642,                0.53963,                 1.4913,                0.69363,                 1.5414,             0.00042928,             0.00042928,             0.00042928
                     38,                0.93989,                0.47467,                 1.0299,                0.91662,                 0.8128,                0.91387,                0.54014,                 1.4851,                0.71579,                 1.5569,             0.00042268,             0.00042268,             0.00042268
                     39,                0.93932,                0.46749,                 1.0273,                0.91174,                0.78919,                0.91007,                0.53758,                 1.4938,                0.76056,                 1.5783,             0.00041607,             0.00041607,             0.00041607
                     40,                0.94396,                0.48989,                 1.0417,                0.84801,                0.84657,                0.90951,                0.52827,                 1.5332,                0.75242,                 1.5314,             0.00040947,             0.00040947,             0.00040947
                     41,                0.88923,                 0.4504,                 1.0148,                0.88244,                0.84656,                0.92124,                0.56864,                  1.463,                0.68742,                 1.5103,             0.00040287,             0.00040287,             0.00040287
                     42,                0.91767,                0.45047,                 1.0064,                0.86323,                 0.8691,                 0.9296,                0.57919,                 1.4524,                0.69151,                 1.4884,             0.00039626,             0.00039626,             0.00039626
                     43,                0.88718,                0.44684,                 1.0074,                0.91341,                0.86771,                0.92048,                0.55788,                 1.5199,                0.71975,                 1.5291,             0.00038966,             0.00038966,             0.00038966
                     44,                0.87929,                0.43822,                 1.0003,                0.95208,                0.85517,                0.94294,                0.56607,                 1.5142,                 0.6657,                 1.5603,             0.00038306,             0.00038306,             0.00038306
                     45,                0.87822,                0.44681,                0.99932,                0.94927,                0.89568,                0.94871,                0.55602,                 1.5907,                0.65356,                 1.6274,             0.00037645,             0.00037645,             0.00037645
                     46,                0.88928,                 0.4343,                  1.005,                0.94348,                0.90704,                0.94876,                0.54773,                 1.5653,                0.64998,                 1.6277,             0.00036985,             0.00036985,             0.00036985
                     47,                0.86749,                0.44973,                 1.0143,                0.94694,                0.88411,                0.93929,                0.54841,                 1.5714,                0.65362,                 1.6634,             0.00036325,             0.00036325,             0.00036325
                     48,                0.84174,                0.42831,                0.99023,                0.95231,                0.82174,                 0.9311,                 0.5394,                 1.5444,                0.70323,                 1.6603,             0.00035664,             0.00035664,             0.00035664
                     49,                0.88349,                0.44601,                  1.013,                0.89306,                0.90606,                0.94262,                0.55498,                 1.5726,                0.64544,                 1.6744,             0.00035004,             0.00035004,             0.00035004
                     50,                0.83398,                0.43359,                0.99157,                 0.9381,                0.89286,                0.93942,                0.56104,                 1.5526,                0.65791,                 1.6614,             0.00034344,             0.00034344,             0.00034344
                     51,                0.80367,                0.41009,                0.96816,                0.91249,                0.90004,                0.94151,                0.56301,                 1.5163,                0.63727,                 1.6393,             0.00033683,             0.00033683,             0.00033683
                     52,                0.86167,                 0.4439,                 1.0074,                0.91422,                0.91427,                0.95037,                0.56824,                 1.5295,                0.62453,                 1.6223,             0.00033023,             0.00033023,             0.00033023
                     53,                0.85322,                 0.4205,                0.97806,                0.94444,                0.91881,                0.95667,                0.56243,                 1.5244,                0.62563,                  1.623,             0.00032363,             0.00032363,             0.00032363
                     54,                0.80829,                0.41854,                 0.9708,                0.95716,                0.89271,                0.95561,                0.55796,                 1.5322,                0.61733,                 1.6931,             0.00031703,             0.00031703,             0.00031703
                     55,                0.82806,                0.42023,                0.98332,                0.95935,                 0.8866,                0.95768,                0.54614,                  1.538,                0.61911,                 1.6679,             0.00031042,             0.00031042,             0.00031042
                     56,                0.81401,                0.41695,                0.96836,                0.95794,                0.89622,                 0.9532,                0.55876,                 1.5247,                 0.6054,                  1.632,             0.00030382,             0.00030382,             0.00030382
                     57,                0.77895,                0.40866,                0.95471,                0.95628,                0.88559,                0.95133,                0.55186,                 1.5331,                0.63931,                 1.6709,             0.00029722,             0.00029722,             0.00029722
